pid,description,start_time,end_time,duration_seconds,status,message
39860,scheduled task 460,1900-01-01T11:53:17,1900-01-01T12:13:09,1192.0,ERROR,Job PID 39860 (scheduled task 460) took 0:19:52 [ERROR: >10 minutes]
87570,scheduled task 794,1900-01-01T11:53:57,1900-01-01T12:01:50,473.0,WARNING,Job PID 87570 (scheduled task 794) took 0:07:53 [WARNING: >5 minutes]
55722,background job cmx,1900-01-01T11:54:56,1900-01-01T11:55:43,47.0,OK,Job PID 55722 (background job cmx) took 0:00:47
85742,scheduled task 064,1900-01-01T11:55:16,1900-01-01T12:07:33,737.0,ERROR,Job PID 85742 (scheduled task 064) took 0:12:17 [ERROR: >10 minutes]
22003,scheduled task 004,1900-01-01T11:55:29,1900-01-01T12:06:42,673.0,ERROR,Job PID 22003 (scheduled task 004) took 0:11:13 [ERROR: >10 minutes]
64591,scheduled task 521,1900-01-01T11:57:05,1900-01-01T11:58:55,110.0,OK,Job PID 64591 (scheduled task 521) took 0:01:50
99672,background job sqm,1900-01-01T11:57:08,1900-01-01T12:02:21,313.0,WARNING,Job PID 99672 (background job sqm) took 0:05:13 [WARNING: >5 minutes]
67833,scheduled task 080,1900-01-01T11:57:16,1900-01-01T12:00:51,215.0,OK,Job PID 67833 (scheduled task 080) took 0:03:35
96183,scheduled task 678,1900-01-01T11:58:12,1900-01-01T12:02:26,254.0,OK,Job PID 96183 (scheduled task 678) took 0:04:14
86716,background job xfg,1900-01-01T11:59:29,1900-01-01T12:05:03,334.0,WARNING,Job PID 86716 (background job xfg) took 0:05:34 [WARNING: >5 minutes]
34189,scheduled task 920,1900-01-01T11:59:43,1900-01-01T12:03:02,199.0,OK,Job PID 34189 (scheduled task 920) took 0:03:19
52532,background job tqc,1900-01-01T12:00:03,1900-01-01T12:13:56,833.0,ERROR,Job PID 52532 (background job tqc) took 0:13:53 [ERROR: >10 minutes]
16168,scheduled task 773,1900-01-01T12:02:39,1900-01-01T12:02:55,16.0,OK,Job PID 16168 (scheduled task 773) took 0:00:16
72029,scheduled task 333,1900-01-01T12:03:20,,,INCOMPLETE,Incomplete job for PID 72029 (scheduled task 333)
98746,scheduled task 746,1900-01-01T12:04:18,1900-01-01T12:11:35,437.0,WARNING,Job PID 98746 (scheduled task 746) took 0:07:17 [WARNING: >5 minutes]
23703,scheduled task 374,1900-01-01T12:04:57,1900-01-01T12:18:23,806.0,ERROR,Job PID 23703 (scheduled task 374) took 0:13:26 [ERROR: >10 minutes]
62401,scheduled task 936,1900-01-01T12:05:59,1900-01-01T12:16:23,624.0,ERROR,Job PID 62401 (scheduled task 936) took 0:10:24 [ERROR: >10 minutes]
81470,background job wiy,1900-01-01T12:08:30,1900-01-01T12:09:33,63.0,OK,Job PID 81470 (background job wiy) took 0:01:03
24482,scheduled task 672,1900-01-01T12:10:38,1900-01-01T12:19:14,516.0,WARNING,Job PID 24482 (scheduled task 672) took 0:08:36 [WARNING: >5 minutes]
72897,scheduled task 016,1900-01-01T12:12:27,,,INCOMPLETE,Incomplete job for PID 72897 (scheduled task 016)
62922,scheduled task 531,1900-01-01T12:14:20,1900-01-01T12:15:09,49.0,OK,Job PID 62922 (scheduled task 531) took 0:00:49
